"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Colorless or white; may be grayish, yellow, green, red, pink","Silicates","Datolite","Mineral","Nesosilicate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","Datolite on sphalerite from San Luis Potos\u00ed, Mexico (size: 6.2 x 5.3 x 2.8 cm)","None","Monoclinic","Biaxial (-)","09.AJ.20","a = 9.62 \u00c5, b = 7.6 \u00c5, c = 4.84\u00a0\u00c5; \u03b2 = 90.15\u00b0; Z = 4","CaBSiO<sub>4</sub>(OH)",,"Transparent to translucent, rarely opaque","5 to 5.5","Vitreous, rarely subresinous on fracture surface","240px-Datolite-rom25c.jpg","n\u03b1 = 1.626 n\u03b2 = 1.653 - 1.654 n\u03b3 = 1.670","Crystal prismatic, short to tabular; Botryoidal or globular with columnar structure; granular to compact; cryptocrystalline","2.96 \u2013 3.00"
"Black","Sulfides","Daubr\u00e9elite","Mineral","Sulfide","Cubic hexoctahedralH-M symbol: (4/m32/m)Space group: F d3m","Coahuila meteorite fragment (""type locality""), Mineralogical Museum, Natural History Museum, Harvard University","Distinct","Cubic",,"02.DA.05","a = 9.966 \u00c5; Z=8","Fe<sub>2</sub>+Cr<sub>3</sub>+<sub>2</sub>S<sub>4</sub>","Brown or black","Opaque","4.5-5","Metallic","240px-Harvard_Museum_of_Natural_History._Meteor_from_Coahuila_%28DerHexer%29_2012-07-20.jpg",,"Massive, platy aggregates, exsolution lamellae in troilite",
"Black","Oxides","Davidite-(La)","Mineral","Oxide","Trigonal rhombohedral (3)","Davidite-(La) from Kazakhstan",,"Trigonal",,"04.CC.40","a = 10.376 \u00c5, c = 20.91 \u00c5; Z = 3","(La,Ce,Ca)(Y,U)(Ti,Fe<sub>3</sub>+)<sub>20</sub>O<sub>38</sub>",,"Opaque, translucent in very thin fragments","~6","Vitreous","240px-Davidite-%28La%29-35242.jpg",,,"4.33 to 4.48"
"white","Carbonates","Dawsonite","Mineral","Carbonate","2/m 2/m 2/m","Dawsonite from Mont Saint-Hilaire, Rouville RCM, Mont\u00e9r\u00e9gie, Qu\u00e9bec, Canada","perfect on {110}","orthorhombic",,"05.BB.10",,"<sub>144</sub>.<sub>00</sub>","white","transparent","3","vitreous","240px-Dawsonite-165134.jpg","n\u03b1 = 1.466n\u03b2 = 1.542n\u03b3 = 1.596","encrustations or radial","2.436"
"Black; pale brownish rose in re\ufb02ected light","Oxides","Delafossite","Mineral","Oxide","Trigonal hexagonal scalenohedralH-M symbol: (32/m)Space group: R3m","Discrete, wine-red cuprite crystals on matrix covered by sparklly delafossite microcrystals","Imperfect on {1011}","Trigonal","Uniaxial","04.AB.15","a = 3.04 \u00c5, c = 17.12 \u00c5; Z=3","CuFeO<sub>2</sub>","Black","Opaque","5.5","Metallic","240px-Cuprite-Delafossite-133433.jpg",,"Tabular to equant crystals; botryoidal crusts, spherulitic, powdery, massive","5.41"
,"Oxides","Demesmaekerite","Mineral","Oxide",,"A specimen of demesmaekerite associated with blue chalcomenite crystals",,,,,,"Pb<sub>2</sub>Cu<sub>5</sub>(UO<sub>2</sub>)<sub>2</sub>(SeO<sub>3</sub>)<sub>6</sub>(OH)<sub>6</sub>\u2022<sub>2</sub>H<sub>2</sub>O",,,,,"240px-Demesmaekerite-Chalcomenite-201042.jpg",,,
"Bottle green, green","Oxides","Derriksite","Mineral","Oxide",,"Crystals of copper-uranium-selenite derriksite (bottle green) on a bed of malachite, the matrix is selenium-rich digenite","{???} perfect, {010} good",,,"04.JG.30",,"Cu<sub>4</sub>(UO<sub>2</sub>)(SeO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>\u2022H<sub>2</sub>O",,"Translucent",,,"240px-Derriksite-Malachite-201073.jpg",,,"4.72"
"Brownish red, red-orange, reddish to blackish brown, nearly black","Other","Descloizite","Mineral","Vanadate","Orthorhombic (2/m 2/m 2/m) - dipyramidal","Descloizite specimen from Berg Aukas (Berg Aukus), Namibia, 9.5 x 8.9 x 4.9 cm","None","Orthorhombic","Biaxial (-)","08.BH.40","a = 7.593 \u00c5, b = 6.057 \u00c5, c = 9.416 \u00c5; Z = 4","(Pb,Zn)<sub>2</sub>VO<sub>4</sub>OH","Orange to brownish red","Transparent to opaque","3 - 3.5","Greasy","240px-Descloizite-162484.jpg","n\u03b1 = 2.185 n\u03b2 = 2.265 n\u03b3 = 2.350","Zoned tabular crystals common, encrustations and plumose aggregates","6.1 - 6.2"
"green, blueish green; green in transmitted light","Sulfates","Devilline","Mineral","Sulfate","monoclinic, 2/m","Devilline","perfect (001) distinct (110) and (101)","Monoclinic","biaxial negative","07.DD.30","a=20.870 \u00c5, b=6.135 \u00c5, c=22.91 \u00c5, \u03b2=102.73\u00b0, V=2,861.23 \u00c5\u00b3","CaCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>\u00b7<sub>3</sub>(H<sub>2</sub>O)","light green",,"2.5","vitreous, pearly","240px-Devilline-t08-23b.jpg","n\u03b1=1.585, n\u03b2=1.649, n\u03b3=1.660","prismatic, lamellar, platy pseudohexagonal crystals",
"Blue","Halides","Diaboleite","Mineral","Halide","Ditetragonal pyramidalH-M symbol: (4mm)Space group: P4mm","Diaboleite at the American Museum of Natural History, in New York City","Perfect on {001}","Tetragonal","Uniaxial (-)","3.DB.05","a = 5.880 \u00c5, c = 5.500 \u00c5, Z=1","Pb<sub>2</sub>CuCl<sub>2</sub>(OH)<sub>4</sub>","Pale blue","Transparent to translucent","2.5","Adamantine, pearly on cleavages","240px-Diaboleite_nymonh.jpg","n\u03c9 = 1.980, n\u03b5 = 1.850","As square tabular crystals, thin plates, massive",
,"Phosphates","Diadochite","Mineral","Phosphate",,"Diadochite from Lodenitz, Bohemia",,,,"08.DB.05",,"Fe<sub>2</sub>(PO<sub>4</sub>)(SO<sub>4</sub>)OH\u00b7<sub>5</sub>H<sub>2</sub>O",,,,,"240px-Diadochit_-_Lodenitz%2C_B%C3%B6hmen.jpg",,,
"Typically yellow, brown or gray to colorless. Less often blue, green, black, translucent white, pink, violet, orange, purple and red.","Native Elements","Diamond","Mineral","Native",,"The slightly misshapen octahedral shape of this rough diamond crystal in matrix is typical of the mineral. Its lustrous faces also indicate that this crystal is from a primary deposit.","111 (perfect in four directions)","Isometric-Hexoctahedral (Cubic)","Isotropic","01.CB.10a",,"<sub>6998120100000000000</sub>\u2660<sub>12</sub>.<sub>01</sub>\u00a0g/mol","Colorless","Transparent to subtransparent to translucent","10 (defining mineral)","Adamantine","240px-Rough_diamond.jpg","2.418 (at 500\u00a0nm)","Octahedral","7000352000000000000\u26603.52\u00b10.01"
"White, pale gray, colorless, greenish gray, brown, pale yellow, pink, purple; may exhibit color change","Oxides","Diaspore","Mineral","Oxide","Orthorhombic 2/m 2/m 2/m","Diaspore from Slovakia","{010} perfect, {110} distinct, {100} in traces","Orthorhombic dipyramidal","Biaxial (+)","04.FD.10","a = 4.4007(6) \u00c5, b = 9.4253(13) \u00c5, c = 2.8452(3)\u00a0\u00c5; Z = 4","\u03b1-AlO(OH)",,"Transparent to translucent","6.5 - 7","Adamantine, vitreous, pearly on cleavage faces","240px-Mineraly.sk_-_diaspor.jpg","n\u03b1 = 1.682 - 1.706 n\u03b2 = 1.705 - 1.725 n\u03b3 = 1.730 - 1.752","Platey, elongated to acicular crystals; also stalactitic, foliated, scaly, disseminated and massive","3.1 - 3.4"
"White, with coloration from impurities","Silicates","Dickite","Mineral","PhyllosilicatesKaolinite-serpentine group","Monoclinic domaticH-M symbol: (m)Space group: Cc","","Perfect on {001}","Monoclinic","Biaxial (+)","09.ED.05","a = 5.150 \u00c5, b = 8.940 \u00c5, c = 14.424 \u00c5; \u03b2 = 96.8\u00b0; Z=4","Al<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","White","Transparent","1.5 - 2","Satiny to pearly","240px-Dickite-262230.jpg","n\u03b1 = 1.561 - 1.564 n\u03b2 = 1.561 - 1.566 n\u03b3 = 1.566 - 1.570","Pseudohexagonal crystals, aggregates of platelets and compact massive","2.6"
"Blue to black","Sulfides","Digenite","Mineral","Sulfide",,"Digenite from the East Colusa Mine, Butte, Montana, USA. Specimen size = 4.3 cm","{111} (observed in synthetic material)","Trigonal Hexagonal scalenohedral H-M Symbol (32/m) Space Group: R3m","Reflectivity: 21.6 at 540 nm","02.BA.05e",,"<sub>146</sub>.<sub>45</sub> g","Black","Opaque","2.5 to 3","Submetallic to metallic","240px-Digenite.jpg",,"Pseudocubic crystals are rare, usually as intergrowths with other copper sulfides","5.5 to 5.7 observed, 5.628 calculated"
"Commonly light to dark green; may be blue, brown, colorless, white, grey","Silicates","Diopside","Mineral","Silicate","Monoclinic 2/m - prismatic","Diopside - Bellecombe, Ch\u00e2tillon, Aosta Valley, Italy","Distinct/good on {110}","Monoclinic","Biaxial (+)",,"a = 9.746 \u00c5, b = 8.899 \u00c5, c = 5.251 \u00c5; \u03b2 = 105.79\u00b0; Z = 4","MgCaSi<sub>2</sub>O<sub>6</sub>","white",,"5.5 - 6.5","Vitreous to dull","240px-Diopside_Aoste.jpg","n\u03b1= 1.663 - 1.699, n\u03b2= 1.671 - 1.705, n\u03b3= 1.693 - 1.728","Short prismatic crystals common, may be granular, columnar, massive","3.278"
"Dark blue green, emerald green","Silicates","Dioptase","Mineral","Cyclosilicates","Trigonal 3 Rhombohedral","Dioptase from Altyn T\u00fcbe, Kazakhstan, the type locality","Perfect in three directions","Trigonal","Uniaxial (+)","09.CJ.30","a = 14.566 \u00c5, c = 7.778 \u00c5; Z = 18","CuSiO<sub>3</sub>\u00b7H<sub>2</sub>O","Green","Transparent to translucent","5","Vitreous","240px-Dioptase_Kazakhstan.jpg","n\u03c9 = 1.652 - 1.658 n\u03b5 = 1.704 - 1.710","Six sided prisms terminated by rhombohedrons to massive","3.28\u20133.35"
"Grey, blue-black or black","Sulfides","Djurleite","Mineral","Copper sulfide","Monoclinic 2/m, space group P21/n","Djurleite pseudomorph after pyrite from New Mexico, specimen size 2.4 cm","None","Monoclinic",,"02.BA.05b","a = 26.897 \u00c5, b = 15.745 \u00c5, c = 13.565 \u00c5 \u03b2 = 90.13\u00b0 Z=8","<sub>2483</sub> g","Black","Opaque","2\u00bd to 3","Submetallic to metallic","240px-Djurleite_04.jpg",,"Crystals are short prismatic and thick tabular, also massive and compact","5.63"
"Brown","Silicates","Dollaseite-(Ce)","Mineral","Silicate",,"","Indistinct, epidote has one good cleavage on one side","Monoclinic - Prismatic","Biaxial (+)",,,"<sub>551</sub>.<sub>04</sub>","light brown","Translucent","6.5\u20137","Vitreous","240px-Dollaseite.JPG","n\u03b1 = 1.715 n\u03b2 = 1.718 n\u03b3 = 1.733","Massive, somewhat prismatic, equant when subhedral","3.9"
"White, gray to pink","Carbonates","Dolomite","Mineral","Carbonate","Trigonal rhombohedral, 3","Dolomite and magnesite \u2013 Spain","Perfect on {1011}, rhombohedral cleavage","Trigonal","Uniaxial (-)","05.AB.10","a = 4.8012(1) \u00c5, c = 16.002 \u00c5; Z = 3","CaMg(CO<sub>3</sub>)<sub>2</sub>","White",,"3.5 to 4","Vitreous to pearly","240px-Dolomite-Magn%C3%A9site-_Navarre.jpg","n\u03c9 = 1.679\u20131.681 n\u03b5 = 1.500","Tabular crystals, often with curved faces, also columnar, stalactitic, granular, massive.","2.84\u20132.86"
"Tin-white to steel-gray","Other","Domeykite","Mineral","Arsenide","Isometric hextetrahedralH-M symbol: (43m)Space group: I43d","","None","Isometric",,"02.AA.10b","a = 9.62 \u00c5; Z = 16","<sub>265</sub>.<sub>56</sub> g","Black gray","Opaque","3-3.5","Metallic","240px-Domeykite.jpg",,"Reniform, botryoidal; massive","7.2 - 8.1, average = 7.65"
"Green, olive green or grey green. Generally zoned due to compositional variations","Arsenates","Duftite","Mineral","Arsenate","Orthorhombic 222","Duftite from Benahadux, Almeria, Andalusia, Spain. Specimen size 2.4 cm","Indistinct","Orthorhombic 222 disphenoidal","Biaxial (-)","08.BH.35","a = 7.768(1) \u00c5, b = 9.211(1) \u00c5, c = 5.999(1) \u00c5; Z=4","<sub>426</sub>.<sub>67</sub> g","Pale green or white","Crystals are transparent to translucent","4.5","Vitreous on fracture surfaces and dull on crystal faces","240px-Duftite.jpg","n\u03b1 = 2.03\u20132.04, n\u03b2 = 2.06\u20132.08, n\u03b3 = 2.08\u20132.10","Tiny crystals elongated along  with curved and rough faces, aggregated into crusts. Crystals may be pseudo-octahedral.","6.4 (measured), 6.60 (calculated)"
"Blue, greenish-blue, violet-blue, pale blue, red","Silicates","Dumortierite","Mineral","Nesosilicate","Orthorhombic 2/m 2/m 2/m","Dumortierite from Alpine County, California, USA, possibly pseudomorphic after tourmaline (size: 5.7 x 2.7 x 1.1 cm)","Distinct on {100}, poor on {110}; parting on {001}","Orthorhombic - Dipyramidal","Biaxial (-)","09.AJ.10","a = 11.77\u00a0\u00c5, b = 20.21\u00a0\u00c5,c = 4.71\u00a0\u00c5; Z=4","Al<sub>7</sub>BO<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>O<sub>3</sub> or Al<sub>6</sub>.<sub>5</sub>-<sub>7</sub>BO<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(O,OH)<sub>3</sub>","White","Transparent to translucent","7 - 8.5","Vitreous to dull","240px-Dumortierite-ch23a.jpg","n\u03b1 = 1.659 - 1.678 n\u03b2 = 1.684 - 1.691 n\u03b3 = 1.686 - 1.692","As fibrous or columnar crystals; coarsely crystalline to intimate parallel aggregates of needles; massive","3.3 - 3.4"
"White to very pale blue; colorless in transmitted light","Carbonates","Dundasite","Mineral","Carbonate","Orthorhombic dipyramidal H-M Symbol (2/m 2/m 2/m) Space Group: Pbmm","Dundasite (the white mineral) and crocoite from Dundas, Tasmania. Field of view is 5mm.","Perfect On {010}","Orthorhombic","Biaxial (-)","05.DB.10","a = 9.08 \u00c5, b = 16.37 \u00c5, c = 5.62 \u00c5; Z = 4","PbAl<sub>2</sub>[(OH)<sub>2</sub>|CO<sub>3</sub>]<sub>2</sub>\u00a0\u2022\u00a0H<sub>2</sub>O","White","Transparent","2","Vitreous to silky","240px-Dundasite_and_Crocoite.jpg","n\u03b1 = 1.603 n\u03b2 = 1.716 n\u03b3 = 1.750","Acicular crystals typically in spherical aggregates and matted crusts","3.10 \u2013 3.55"
"Silver-white (tarnishes to lead-gray, yellowish, or black)","Other","Dyscrasite","Mineral","Antimonide","Orthorhombic pyramidal mm2","Twinned dyscrasite crystals from the Czech Republic (size: 4.5 x 4.5 x 3.3 cm)","Distinct on {001} {001}, imperfect on {110}","Orthorhombic",,"02.AA.35","a = 3.008 \u00c5, b = 4.828 \u00c5, c = 5.214 \u00c5; Z = 1","Ag<sub>3</sub>Sb","Silver-white","Opaque","3\u00bd - 4","Metallic","240px-Dyscrasite-22000.jpg",,"Pyramidal crystals also cylindrical, prismatic to platy, striated; granular, foliated or massive","9.4 - 10"
"White to gray, pale to dark green, also brown and pale pinkish-brown","Silicates","Edenite","Mineral","Inosilicate, amphibole","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/m","Edenite crystal from Bancroft District, Ontario","Good on (110)","Monoclinic","Biaxial (+)",,"a = 9.83 \u00c5, b = 17.95 \u00c5, c = 5.3 \u00c5, \u03b2 = 105.18\u00b0; Z=2","<sub>834</sub>.<sub>25</sub> g","White","Semitransparent","5\u20136","Vitreous","240px-Edenite-188165.jpg","n\u03b1 = 1.606 - 1.649, n\u03b2 = 1.617 - 1.660, n\u03b3 = 1.631 - 1.672","Prismatic crystals, fibrous, as reaction rims on pyroxenes","3.05 - 3.37"
,"Silicates","Edingtonite","Mineral","Tectosilicate",,"Edingtonite from Ice River Alkaline Complex, Golden Mining Division, British Columbia, Canada",,"Orthorhombic, some are tetragonal","Biaxial (-)","09.GA.15",,"BaAl<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>\u00b7<sub>4</sub>H<sub>2</sub>O",,,"4 - 5",,"240px-Edingtonite-120476.jpg","n\u03b1 = 1.538 n\u03b2 = 1.549 n\u03b3 = 1.554",,
"Green, red to pink, blue, orange, yellow, colorless, multicolored","Silicates","Elbaite","Mineral","Silicate",,"Elbaite from Male, Mogok, Sagaing, Mandalay, Myanmar (size: 61 x 60 x 52 mm, 198 g)","Poor/indistinct on {1120} and {1011}","Trigonal","Uniaxial (-)","09.CK.05",,"Na(Li<sub>1</sub>.<sub>5</sub>Al<sub>1</sub>.<sub>5</sub>)Al<sub>6</sub>Si<sub>6</sub>O<sub>18</sub>(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>4</sub>","White","Transparent to opaque","7\u00bd","Vitreous","240px-8212M-elbaite1.jpg","n\u03c9 = 1.635\u20131.650, n\u03b5 = 1.615\u20131.632","Prismatic; striated",
"Yellowish green","Other","Emmonsite","Mineral","Tellurite","Triclinic pinacoidalH-M symbol: (1)Space group: P1","Emmonsite. Locality: San Miguel Mine, Moctezuma, Sonora, Mexico (size: 6.3 x 4.1 x 1.1\u00a0cm)","Perfect on {010}; good on {100} and {001}","Triclinic","Biaxial (-)","04.JM.10","a = 7.90 \u00c5, b = 8.00 \u00c5, c = 7.62 \u00c5; \u03b1 = 96.73\u00b0, \u03b2 = 95\u00b0, \u03b3 = 84.47\u00b0; Z=2","Fe<sub>2</sub>(TeO<sub>3</sub>)<sub>3</sub>\u00b7<sub>2</sub>(H<sub>2</sub>O)",,"Opaque to translucent","5","Vitreous","240px-Emmonsite-mrz266a.jpg","n\u03b1 = 1.962 n\u03b2 = 2.090 n\u03b3 = 2.100 - 2.120","Thin to hairlike crystals, occurring in rosettes and sprays; also fibrous globular aggregates and crusts","4.52\u20134.55"
"Grayish black to iron black; gray to pale pink-brown, deep red internal re\ufb02ections in polished section","Sulfides","Enargite","Mineral","Sulfide","Orthorhombic pyramidalH-M symbol: (mm2)Space group: Pmn21","2 cm specimen of Enargite crystals on pyrite from Butte, Montana","Perfect on {110}, distinct {100} and {010}","Orthorhombic",,"02.KA.05","a = 7.407(1) \u00c5, b = 6.436(1) \u00c5,c = 6.154(1) \u00c5; Z = 2","<sub>393</sub>.<sub>82</sub> g","Black","Opaque","3","Metallic to dull","240px-Enargite.jpg",,"Tabular to prismatic crystals, striated parallel to {001}; massive","4.4 to 4.5"
"White, grey, green, yellow or brown - colorless in thin section.","Silicates","Enstatite","Mineral","Inosilicate","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: P bca","","Good/distinct on ","Orthorhombic","Biaxial (+)","09.DA.05","a = 18.23 \u00c5, b = 8.84 \u00c5, c = 5.19 \u00c5; Z = 8","MgSiO<sub>3</sub>","Gray","Translucent to opaque","5 to 6","Vitreous, pearly on cleavage","240px-Enstatite-USGS-BYU492.jpg","n\u03b1 = 1.650\u20131.668; n\u03b2 = 1.652\u20131.673; n\u03b3 = 1.659\u20131.679","Prismatic crystals, commonly lamellar, fibrous, or massive","3.2\u20133.3"
"Pink, rose red","Phosphates","Eosphorite","Mineral","Phosphate","Monoclinic 2/m prismatic","Rose Quartz with Eosphorite","Poor on {100}","Monoclinic","Biaxial (-)","08.DD.20","a = 10.455(1) \u00c5, b = 13.501(2) \u00c5, c = 6.928(1) \u00c5; \u03b2 = 90\u00b0; Z = 8","MnAl(PO<sub>4</sub>)(OH)<sub>2</sub>\u00b7H<sub>2</sub>O","White","Transparent to translucent","5","Vitreous, resinous","240px-%C3%89osphorite_sur_quartz_rose_cristallis%C3%A9_5157.jpg","n\u03b1 = 1.628 - 1.639 n\u03b2 = 1.648 - 1.664 n\u03b3 = 1.657 - 1.671","Prismatic in radiating sprays or spheres, massive","3.06 \u2013 3.08"
"Brownish pink, pearl gray, pale green","Silicates","Ephesite","Mineral","Phyllosilicate","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/calso reported is a triclinic polytype","Ephesite","Perfect on {001}","Monoclinic or triclinic","Biaxial (-)","9.EC.20","a = 5.12 \u00c5, b = 8.853 \u00c5, c = 19.303 \u00c5, Z = 4; beta = 95.08\u00b0","NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>)O<sub>10</sub>(OH)<sub>2</sub>",,"Translucent","3.5\u20134","Vitreous, pearly on cleavage","240px-Ephesite-120783.jpg","n\u03b1 = 1.592 - 1.595 n\u03b2 = 1.624 - 1.625 n\u03b3 = 1.625 - 1.627","Flakes","2.984"
"Pistachio-green, yellow-green, greenish black","Silicates","Epidote","Mineral","Sorosilicates",,"Epidote crystals \u2013 Deposit topotype","{001} perfect and {100} imperfect","Monoclinic \u2013 Prismatic","Biaxial (-)",,,"{Ca<sub>2</sub>}{Al<sub>2</sub>Fe<sub>3</sub>+}[O|OH|SiO<sub>4</sub>|Si<sub>2</sub>O<sub>7</sub>]","Greyish white","Transparent to nearly opaque","6\u20137","Vitreous to resinous","240px-Epidote_Oisans.jpg","n\u03b1 = 1.715\u20131.751n\u03b2 = 1.725\u20131.784n\u03b3 = 1.734\u20131.797","Prismatic with striations, fibrous, massive","3.3\u20133.6"
"White, grey, colorless, or pink, greenish","Sulfates","Epsomite","Mineral","Sulfate","Orthorhombic disphenoidalH-M symbol (2 2 2)Space group: P 212121","Epsomite formation in a New Mexico cave","{010} perfect {101} distinct","Orthorhombic","Biaxial (-)","07.CB.40","a = 11.86 \u00c5, b = 11.99 \u00c5, c = 6.858 \u00c5; Z=4","MgSO<sub>4</sub>\u00b7<sub>7</sub>H<sub>2</sub>O",,"Transparent to translucent","2","Vitreous, silky when fibrous","240px-Epsomite.jpg","n\u03b1 = 1.433 n\u03b2 = 1.455 n\u03b3 = 1.461","Acicular to fibrous encrustations","1.67 - 1.68"
"White, Green, Gray, Orange","Other","Erionite-Na","Mineral","Zeolite",,""," Distinct","Hexagonal, (6/m 2/m 2/m)","Uniaxial (-)",,,"(Na<sub>2</sub>,K<sub>2</sub>,Ca)<sub>2</sub>Al<sub>4</sub>Si<sub>14</sub>O<sub>36</sub>\u00b7<sub>15</sub>H<sub>2</sub>O","white",,"3.5-4","Vitreous - silky","240px-Erionit_Na%2C_Dunseverick%2C_Antrim_Co.%2C_Irlandia_Pn..jpg","n\u03c9 = 1.4711, n\u03b5 = 1.474","Acicular - Occurs as needle-like crystals.","2.09 - 2.13 avg = 2.11"
"Crimson to peach-red, pale rose, or pink, may be zoned","Arsenates","Erythrite","Mineral","ArsenateVivianite group",,"Erythrite crystals","Perfect on {010}; poor on {100} and {102}.","Monoclinic - Prismatic H-M Symbol (2/m) Space Group: 2/m","Biaxial (+)","08.CE.40",,"Co<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>\u00b7<sub>8</sub>H<sub>2</sub>O","Pale red to pink","Transparent to translucent","1.5 - 2.5","Subadamantine, pearly on cleavages","240px-Erythritemaroc2.jpg","n\u03b1 = 1.626 - 1.629 n\u03b2 = 1.662 - 1.663 n\u03b3 = 1.699 - 1.701","Radial or stellate aggregates, fibrous, drusy; usually powdery and massive - rarely as striated prismatic crystals","3.06"
